Username,Followers,Follows,Posts,Private,ExternalURL,mutuals,followback,
inst41,181,582,34,TRUE,no,21,,
inst42,113,136,29,TRUE,no,19,,
inst43,228,549,4,FALSE,no,10,,
inst44,85,210,53,TRUE,no,21,,
inst45,4270,2250,276,FALSE,yes,1,,
inst46,200,196,21,FALSE,no,1,,
inst47,420,635,159,TRUE,no,1,,
inst48,323,287,18,TRUE,no,1,,
adamschallau,6762,286,143,FALSE,yes,0,,
cameraexchange,2392,1188,654,FALSE,yes,1,,
gujju_minion,659005,6,7889,TRUE,yes,0,,
gdinesh,1392,361,52,FALSE,no,0,,
brigydinesh,332,218,81,FALSE,no,0,,
dineshi_madhumekala,800,375,41,TRUE,yes,0,,
sheetalthakur5641,366,489,60,TRUE,no,0,,
sheetal_savani,717,1011,466,TRUE,no,0,,
gregrama,52,7,0,FALSE,no,0,,
ram.pratap,273,294,180,TRUE,no,0,,
texaswrekage,873,602,860,FALSE,no,1,,
cmpina,17,54,42,FALSE,no,1,,
sarawithtamron,266,259,26,FALSE,yes,1,,
crazy_bird_chick,828,2285,2724,FALSE,no,1,,
sitajain,9,35,1,FALSE,no,0,,
yashgala7,6126,5428,257,FALSE,no,0,,
prof.nidhiverma,222,353,278,true,no,0,,
_jignesh_26,643,351,166,true,no,0,,
anu_jignesh_015,247,242,95,true,no,0,,
giru7774,562,782,136,true,no,0,,
gshah00,387,724,329,true,no,0,,
blazin_gun,616,654,132,true,no,0,,
